Epoch,train_loss,val_loss,val_dice,val_iou,val_acc
1,1.5034597690288838,1.3701174329308903,0.4330081045627594,0.317229688167572,0.8741328295539407
2,1.3294482487898607,1.2902682598899393,0.5033878684043884,0.39198774099349976,0.9027559616986442
3,1.279267331270071,1.2496608565835392,0.5048308968544006,0.39703211188316345,0.9009411755730125
4,1.2392651374523456,1.2150376754648544,0.5137342810630798,0.4083673655986786,0.9011162028593176
5,1.2056358649180485,1.1763519048690796,0.5470043420791626,0.4412377178668976,0.9189494637882009
6,1.175034189224243,1.148019047344432,0.5708824992179871,0.4613412618637085,0.928463430965648
7,1.1440304260987502,1.1401905452503878,0.5481351613998413,0.43520185351371765,0.9174983080695657
8,1.117884322313162,1.1176890134811401,0.6275905966758728,0.5144792199134827,0.943265578326057
9,1.1033913291417636,1.0746156994034262,0.5849649310112,0.47525733709335327,0.9285908867331112
10,1.0614137071829575,1.0501249467625338,0.578730583190918,0.470230370759964,0.921321756699506
11,1.0393955496641305,1.0134907364845276,0.5984974503517151,0.49301087856292725,0.9289218678193933
12,1.0215150292103108,0.9939545112497666,0.6136142015457153,0.5073478817939758,0.9352052352007698
13,0.9944527112520658,0.964046390617595,0.651753842830658,0.5493780374526978,0.9442323796889361
14,0.965519027526562,0.9398950724040761,0.683925449848175,0.586892306804657,0.9390272252699908
15,0.9550876360673171,0.9114130069227779,0.7247870564460754,0.6229890584945679,0.960563435274012
16,0.9283755806776194,0.8908045572393081,0.6988707780838013,0.5984316468238831,0.949248145608341
17,0.908805803152231,0.8963316293323741,0.6100624799728394,0.5021210312843323,0.9274680193732766
18,0.8909353943971487,0.8557445231605979,0.7087973952293396,0.6123801469802856,0.9554588093477137
19,0.8686840809308566,0.834488735479467,0.7600022554397583,0.6726250648498535,0.9594803978415096
20,0.8529472222694984,0.8037673270001131,0.7444395422935486,0.6488720178604126,0.9636447008918313
21,0.8320456009644729,0.7988723621648901,0.6953393816947937,0.5946642160415649,0.9492636287913603
22,0.8088274176304157,0.7648888335508459,0.7300014495849609,0.6357851624488831,0.9585013670079848
23,0.7987525930771461,0.7551727855906767,0.7580373883247375,0.6678980588912964,0.9633670133702895
24,0.7770190449861379,0.7513128098319558,0.7436808347702026,0.6529445648193359,0.9595522039076861
25,0.765296522470621,0.7270749947604012,0.7573179006576538,0.6663603782653809,0.9625972299014821
26,0.7478171385251559,0.7095785421483657,0.7221271395683289,0.6270915269851685,0.9566308189840877
27,0.7333976763945359,0.6850714332917157,0.7445833683013916,0.6521952748298645,0.9603435291963465
28,0.7088390611685239,0.6866838511298684,0.7408575415611267,0.6516640186309814,0.9527300666360294
29,0.6915404461897336,0.6600324932266685,0.742546558380127,0.6517659425735474,0.960756638470818
30,0.702106893979586,0.6341687581118416,0.7668659090995789,0.6788619756698608,0.9638973684871898
31,0.6687127883617695,0.6243637397008783,0.7699674963951111,0.6849921345710754,0.9631666295668658
32,0.6696295160513658,0.6179902571089128,0.761475145816803,0.6757221221923828,0.9596731522504021
33,0.6358606411860539,0.5955969410784104,0.7752536535263062,0.6898991465568542,0.9658538593965418
34,0.6314524618478922,0.6071507527547724,0.7446791529655457,0.6527889370918274,0.9587027605842141
35,0.6099742330037631,0.5839439648039201,0.783560574054718,0.6921098232269287,0.9645105249741498
36,0.5849067495419429,0.5715991153436548,0.7748680114746094,0.6882051825523376,0.9604776045855354
37,0.5847059043554159,0.551158564932206,0.7959228754043579,0.7094516754150391,0.9663670483757468
38,0.5725602723084964,0.5415830962798175,0.7845993041992188,0.7008237242698669,0.9618094949161305
39,0.562945032119751,0.515351158731124,0.7942807078361511,0.7103228569030762,0.9671560175278607
40,0.5562573662170998,0.5195537595187917,0.7820749878883362,0.6955422163009644,0.9651972826789407
41,0.533707334445073,0.527659098891651,0.7513288259506226,0.661081075668335,0.9595939411836512
42,0.5178562567784236,0.48908907350371866,0.7945171594619751,0.7099072337150574,0.9681646683636833
43,0.5141362919257237,0.5196153994868783,0.7496498227119446,0.6663276553153992,0.9576777289895451
44,0.49757699783031756,0.47555554789655347,0.7971339821815491,0.7141360640525818,0.968441458309398
45,0.5051296573418838,0.4702225678107318,0.7908928394317627,0.7083122730255127,0.9641019035788143
46,0.4819551532085125,0.44352829281021566,0.8100332021713257,0.7268054485321045,0.9682802312514361
47,0.461512205692438,0.43799886983983655,0.8029703497886658,0.7234722375869751,0.9699101167566636
48,0.4621323026143588,0.4223761085201712,0.8209282159805298,0.7381263971328735,0.9709590463077321
49,0.4444398426092588,0.4720118300003164,0.7945705652236938,0.7115131616592407,0.9541018990909352
50,0.4434945085873971,0.4697997236953062,0.779710054397583,0.6983150839805603,0.9561711479635799
