Epoch,train_loss,val_loss,val_dice,val_iou,val_acc
1,1.2515301025830783,1.338595285135157,0.40590929985046387,0.30048590898513794,0.8273064108455882
2,1.0991438673092768,1.0622106334742378,0.5901136994361877,0.4793424904346466,0.937893362606273
3,1.0417831274179312,1.0523389788234936,0.5882083177566528,0.47511568665504456,0.9221494338091683
4,0.9838720981891339,0.9647226894603056,0.6588764190673828,0.5605865716934204,0.950775146484375
5,0.9394868914897625,0.9232657832257888,0.6829574108123779,0.5880220532417297,0.9537089852725759
6,0.8831813821425805,0.9185632186777452,0.6666653752326965,0.5582525730133057,0.9471526426427505
7,0.8580308235608615,0.8763142824172974,0.660083532333374,0.5581458210945129,0.944062401266659
8,0.7876034278136034,0.8441457853597754,0.6948785781860352,0.6079155802726746,0.9454754100126379
9,0.7582188074405377,0.92993264689165,0.584604024887085,0.4767324924468994,0.8989183762494255
10,0.7103760178272541,0.7636564268785364,0.7103595733642578,0.6184457540512085,0.9542924095602596
11,0.6748344393876883,0.7427566787775826,0.6525297164916992,0.5457514524459839,0.9457548926858341
12,0.6259904008645277,0.7069701920537388,0.718214213848114,0.6291272640228271,0.9576797485351562
13,0.6015995057729574,0.6763011041809531,0.6894953846931458,0.5885053277015686,0.9524533888872933
14,0.5637376913657555,0.6626468704027288,0.7145694494247437,0.6129114627838135,0.9528886009665096
15,0.5246408957701463,0.5890998594901141,0.7325549125671387,0.6382461786270142,0.9623843922334558
16,0.502002693598087,0.5819456945447361,0.7183777093887329,0.6252071857452393,0.9596247953527114
17,0.45994749894508946,0.5451973063104293,0.7469518780708313,0.6578681468963623,0.9647907930261949
18,0.4414600110971011,0.5881758034229279,0.7472684383392334,0.6582304835319519,0.9561310936422909
19,0.4094910571208367,0.4954767577788409,0.7782400250434875,0.6912440657615662,0.966298496021944
20,0.38357089436971226,0.5286505029482,0.7762722373008728,0.6897504925727844,0.9643470539766199
21,0.3593940725693336,0.5018573718912461,0.7545661330223083,0.668167233467102,0.9635272306554458
22,0.3510492434868446,0.536843725863625,0.7198095917701721,0.6266123652458191,0.951140235452091
23,0.33140931725502015,0.4499291321810554,0.755075991153717,0.6707671880722046,0.965779697193819
24,0.307559265769445,0.42797933781848235,0.7715460062026978,0.686881959438324,0.9650725196389591
25,0.27939986953368556,0.4307279884815216,0.7566842436790466,0.6672362089157104,0.9647353677188649
26,0.2684944478365091,0.4124078294810127,0.7874220609664917,0.703862726688385,0.9676969191607308
27,0.2532718376471446,0.4080173566060908,0.7844548225402832,0.6990569829940796,0.9673643673167509
28,0.23376289927042448,0.43904344123952527,0.7587615251541138,0.6701416969299316,0.9610507067512063
29,0.22193750532773826,0.36979813260190625,0.7931047677993774,0.7095375061035156,0.9694450602811926
30,0.2029342199747379,0.36759580408825593,0.7796557545661926,0.6989349126815796,0.9691712996538948
31,0.1908372686459468,0.3613345000673743,0.797639012336731,0.712055504322052,0.969086815329159
32,0.18277114045161466,0.3802036537843592,0.7740634083747864,0.6888540983200073,0.9663653654210708
33,0.1772615120961116,0.3951370435602525,0.7735289335250854,0.6833928227424622,0.9641220990349265
34,0.2585066937483274,0.5305385607130387,0.6422604322433472,0.5369572639465332,0.9421540428610409
35,0.2336466025847655,0.4050471905399771,0.7695705890655518,0.6839617490768433,0.9631595611572266
36,0.17102970503843748,0.4028845043743358,0.7570122480392456,0.6707772612571716,0.9602579229018268
37,0.15432172325941232,0.37271632692393136,0.7901022434234619,0.7046520709991455,0.9662171532126034
38,0.1435428614799793,0.3469320553190568,0.7932998538017273,0.7085858583450317,0.9679332059972426
39,0.1373169088592896,0.3549663599799661,0.7925174236297607,0.7120023369789124,0.9675246967988855
40,0.13013773904396939,0.3438069364603828,0.7993792295455933,0.7163880467414856,0.9674958621754366
41,0.11997589480418425,0.3319893628358841,0.790657639503479,0.7052611708641052,0.968783322502585
42,0.1084671852680353,0.33917531809386087,0.802987813949585,0.7153768539428711,0.9678888881907743
43,0.11292046193893139,0.36282314623103423,0.7886245846748352,0.7073467373847961,0.9665461147532743
44,0.10162337376521184,0.3543473245466457,0.7860821485519409,0.7019250988960266,0.9665189630845014
45,0.09800179944588588,0.34292072846609,0.795942485332489,0.7133417129516602,0.9674040850471047
46,0.09452259173760047,0.33281585661803975,0.7994158864021301,0.7139955163002014,0.9679370206945083
47,0.09119688461606319,0.33985424392363606,0.7962424159049988,0.7062180638313293,0.9683920916389016
48,0.0888381540775299,0.34231093087617087,0.793910562992096,0.7101103663444519,0.9671444612390855
49,0.08470467460843233,0.3384971609886955,0.799426257610321,0.7130533456802368,0.9676616893095129
50,0.08052521623097933,0.3477484995827955,0.7848192453384399,0.6987993717193604,0.9661392885095933
51,0.08136923605432878,0.3402225629371755,0.798343300819397,0.7127558588981628,0.9674050948199104
52,0.07544358166364523,0.3428189999916974,0.7976568937301636,0.7081032395362854,0.9683284759521484
53,0.07203919950586099,0.34393134625519023,0.7869194746017456,0.7007143497467041,0.9675690146053538
54,0.06807166068599774,0.33589766218381767,0.7940752506256104,0.7092347741127014,0.9680060218362248
55,0.06375963848370772,0.3397044749820934,0.789630115032196,0.7005352973937988,0.967800589168773
56,0.06415060082307229,0.3546837734825471,0.7797863483428955,0.6942764520645142,0.9674287683823529
57,0.06277272827350176,0.34326747848707084,0.791020929813385,0.7058241367340088,0.967770071590648
58,0.058533659520057534,0.34298991455751304,0.7882924675941467,0.700370192527771,0.9675482581643498
59,0.0543469909292001,0.3477558213121751,0.7904598712921143,0.7036108374595642,0.9680354174445657
60,0.05479392363474919,0.3459742148132885,0.7898072004318237,0.7045239806175232,0.9681809369255515
61,0.05432395035257706,0.3439770858077442,0.7824946641921997,0.6966726183891296,0.967399933758904
62,0.05208363246459227,0.3503749098847894,0.7884945273399353,0.7016240954399109,0.9676386889289407
63,0.0526654482460939,0.3434196167132434,0.7958487868309021,0.7066182494163513,0.9680800718419692
64,0.052212228969885754,0.33723588200176463,0.7898460030555725,0.7041072249412537,0.9686759499942555
65,0.05092877086538535,0.36368300809579734,0.7740180492401123,0.691203773021698,0.9662912032183479
66,0.0909681943173592,0.760942197897855,0.5631464719772339,0.4691545367240906,0.9435355242560891
67,0.3764961293110481,0.392923545311479,0.7235463261604309,0.6295058131217957,0.9623813629150391
68,0.21570791590672272,0.38763439655303955,0.7303332090377808,0.6370223760604858,0.9605228199678308
69,0.15872624745735756,0.3386855379623525,0.7924594879150391,0.7053627371788025,0.9678776684929343
70,0.09689125653642874,0.35951151129077463,0.7717475295066833,0.6848757863044739,0.9660781411563649
71,0.0747787037721047,0.3455527284566094,0.7814036011695862,0.6943821907043457,0.9669798682717716
72,0.06291123599960254,0.3442397363045636,0.7849830985069275,0.6984125375747681,0.968977647669175
73,0.05614144079960309,0.3346995676265043,0.7836387157440186,0.695576012134552,0.9689453349393957
74,0.05577163472771644,0.3516582329483593,0.7824738621711731,0.6940045952796936,0.9680500030517578
75,0.04787275968835904,0.3510272283764446,0.7864956259727478,0.7002691626548767,0.9675263797535616
76,0.04789104258211759,0.352425456923597,0.7880224585533142,0.700508177280426,0.9679954753202551
77,0.04563411502883984,0.35567038900711956,0.7774932980537415,0.6933299899101257,0.9686084074132583
78,0.045825495542241974,0.35445719168466683,0.7732368111610413,0.688071608543396,0.9684426924761604
79,0.04593352827315147,0.3546609650639927,0.7906277775764465,0.7057974934577942,0.967745163861443
80,0.04107790844371686,0.3518654555082321,0.7915499210357666,0.7054563164710999,0.9678773319019991
81,0.03972271637847791,0.3619346311863731,0.7885208129882812,0.7028884887695312,0.9675524094525505
82,0.03791230103144279,0.3514171838760376,0.7877191305160522,0.7003088593482971,0.9684705173268038
83,0.0372669964742202,0.3592628310708439,0.7833579778671265,0.6986975073814392,0.9675390580121208
84,0.03746142456164727,0.3555409426198286,0.7838385701179504,0.6997379660606384,0.9683451933019301
85,0.034839916716401395,0.35650528616764965,0.787635087966919,0.702536940574646,0.9684399997486788
86,0.034790494665503505,0.35441412908189435,0.778041660785675,0.6942028403282166,0.9685317768770105
87,0.03348912719923716,0.3548303509459776,0.7876491546630859,0.7018819451332092,0.968929178574506
88,0.03374934523151471,0.37031450341729555,0.7847782969474792,0.697425365447998,0.9679201911477482
89,0.03281074051673596,0.36168426275253296,0.7810585498809814,0.6961734294891357,0.968442580279182
